# gain=MAX atime_ms=100 simulated=0
t_s,ch0,ch1
102.2368,10837,2307
102.3520,10837,2307
102.4672,10840,2309
102.5823,10841,2308
102.6975,10837,2308
102.8127,10836,2308
102.9274,10836,2308
103.0414,10839,2308
103.1554,10837,2307
103.2696,10834,2307
103.3835,10836,2307
103.4975,10838,2308
103.6114,10836,2308
103.7253,10835,2308
103.8392,10838,2307
103.9531,10835,2307
104.0670,10834,2308
104.1810,10836,2307
104.2949,10836,2307
104.4088,10834,2307
104.5227,10833,2307
104.6366,10831,2306
104.7505,10833,2307
104.8645,10833,2307
104.9784,10836,2307
105.0923,10836,2307
105.2062,10830,2307
105.3202,10833,2307
105.4341,10836,2306
105.5480,10837,2307
105.6619,10835,2307
105.7760,10834,2306
105.8900,10834,2307
106.0039,10834,2306
106.1179,10833,2307
106.2318,10834,2307
106.3457,10834,2307
106.4597,10835,2307
106.5736,10830,2306
106.6875,10831,2306
106.8014,10832,2307
106.9153,10834,2306
107.0293,10830,2308
107.1432,10832,2308
107.2571,10828,2306
107.3711,10829,2306
107.4850,10829,2307
107.5989,10830,2308
107.7129,10829,2306
107.8270,10826,2306
107.9417,10831,2307
108.0569,10831,2307
108.1721,10831,2308
108.2873,10830,2307
108.4024,10831,2307
108.5177,10829,2306
108.6325,10831,2307
108.7464,10829,2307
108.8603,10830,2306
108.9743,10830,2307
109.0882,10830,2307
109.2022,10829,2307
109.3162,10831,2305
109.4301,10833,2306
109.5440,10832,2305
109.6580,10833,2306
109.7719,10829,2306
109.8858,10830,2305
109.9997,10829,2306
110.1137,10827,2306
110.2277,10830,2305
110.3416,10826,2305
110.4555,10828,2306
110.5694,10829,2306
110.6834,10827,2304
110.7973,10826,2305
110.9113,10824,2306
111.0252,10828,2305
111.1392,10828,2304
111.2531,10829,2306
111.3671,10826,2305
111.4810,10827,2305
111.5949,10826,2305
111.7088,10826,2304
111.8227,10822,2305
111.9367,10822,2306
112.0506,10822,2304
112.1645,10826,2305
112.2784,10823,2305
112.3923,10823,2306
112.5063,10826,2306
112.6202,10824,2306
112.7341,10824,2305
112.8480,10824,2305
112.9619,10826,2305
113.0758,10826,2304
113.1898,10823,2304
113.3037,10822,2304
113.4176,10823,2306
113.5315,10822,2304
113.6462,10821,2304
113.7617,10821,2304
113.8769,10822,2305
113.9920,10823,2305
114.1072,10824,2306
114.2225,10825,2304
114.3373,10826,2306
114.4512,10826,2305
114.5651,10824,2306
114.6791,10824,2305
114.7930,10826,2305
114.9069,10825,2305
115.0208,10824,2306
115.1348,10822,2306
115.2488,10823,2305
115.3627,10825,2304
115.4766,10821,2305
115.5906,10821,2304
115.7046,10823,2304
115.8185,10821,2304
115.9326,10820,2304
116.0466,10824,2304
116.1606,10821,2304
116.2745,10822,2305
116.3885,10824,2305
116.5025,10821,2304
116.6164,10820,2304
116.7303,10821,2304
116.8442,10819,2304
116.9582,10818,2304
117.0721,10824,2304
117.1860,10821,2303
117.2999,10820,2303
117.4139,10820,2305
117.5278,10822,2304
117.6417,10820,2305
117.7556,10820,2304
117.8696,10819,2303
117.9835,10819,2304
118.0974,10820,2305
118.2113,10821,2304
118.3253,10815,2304
118.4392,10820,2304
118.5531,10819,2303
118.6671,10820,2305
118.7810,10819,2304
118.8949,10817,2304
119.0088,10817,2305
119.1227,10816,2302
119.2367,10816,2303
119.3515,10817,2303
119.4667,10817,2302
119.5818,10814,2303
119.6971,10812,2304
119.8123,10813,2303
119.9275,10815,2305
120.0422,10812,2304
120.1562,10812,2304
120.2701,10814,2304
120.3840,10816,2304
120.4979,10816,2304
120.6119,10813,2304
120.7258,10815,2305
120.8397,10817,2304
120.9537,10812,2302
121.0676,10815,2304
121.1816,10816,2304
121.2955,10817,2304
121.4094,10816,2303
121.5235,10812,2304
121.6374,10816,2304
121.7515,10810,2304
121.8654,10810,2303
121.9794,10814,2304
122.0933,10812,2302
122.2073,10815,2304
122.3212,10810,2302
122.4351,10810,2304
122.5491,10811,2303
122.6630,10813,2302
122.7769,10812,2303
122.8908,10809,2302
123.0047,10808,2303
123.1187,10809,2303
123.2326,10810,2303
123.3465,10809,2303
123.4604,10810,2301
123.5743,10807,2303
123.6883,10807,2303
123.8022,10808,2303
123.9161,10811,2303
124.0300,10809,2303
124.1439,10811,2302
124.2578,10809,2303
124.3717,10810,2303
124.4856,10810,2302
124.5996,10808,2301
124.7136,10812,2303
124.8275,10812,2302
124.9414,10810,2303
125.0553,10807,2302
125.1705,10809,2302
125.2857,10811,2303
125.4009,10809,2303
125.5161,10805,2303
125.6313,10810,2302
125.7461,10808,2301
125.8600,10807,2301
125.9739,10809,2302
126.0878,10808,2301
126.2019,10808,2300
126.3159,10804,2301
126.4299,10805,2302
126.5438,10808,2302
126.6577,10809,2302
126.7717,10806,2303
126.8856,10806,2302
126.9997,10807,2301
127.1136,10807,2302
127.2277,10807,2302
127.3417,10805,2302
127.4556,10805,2303
127.5696,10806,2302
127.6835,10807,2302
127.7974,10803,2301
127.9113,10803,2301
128.0253,10806,2302
128.1392,10807,2302
128.2532,10805,2302
128.3671,10806,2302
128.4810,10804,2302
128.5949,10806,2301
128.7088,10802,2300
128.8228,10803,2301
128.9367,10802,2301
129.0506,10803,2301
129.1645,10804,2301
129.2784,10807,2302
129.3924,10803,2301
129.5063,10803,2302
129.6202,10803,2301
129.7342,10801,2301
129.8481,10802,2301
129.9620,10804,2301
130.0759,10804,2301
130.1899,10802,2301
130.3038,10801,2303
130.4177,10802,2300
130.5316,10803,2301
130.6455,10801,2301
130.7595,10801,2300
130.8747,10804,2302
130.9899,10805,2300
131.1051,10802,2300
131.2205,10800,2300
131.3357,10805,2301
131.4505,10803,2302
131.5645,10804,2301
131.6784,10803,2300
131.7923,10805,2300
131.9063,10799,2299
132.0202,10801,2301
132.1341,10800,2300
132.2481,10803,2301
132.3620,10801,2300
132.4759,10802,2300
132.5898,10799,2299
132.7037,10798,2299
132.8176,10798,2300
132.9316,10799,2300
133.0455,10801,2302
133.1596,10800,2301
133.2735,10798,2300
133.3874,10799,2300
133.5014,10800,2300
133.6153,10799,2300
133.7292,10802,2302
133.8431,10799,2300
133.9570,10799,2300
134.0709,10798,2300
134.1849,10799,2300
134.2988,10798,2300
134.4127,10797,2299
134.5267,10797,2300
134.6406,10798,2301
134.7545,10798,2299
134.8684,10797,2299
134.9823,10798,2300
135.0962,10797,2300
135.2102,10798,2300
135.3241,10795,2300
135.4380,10797,2299
135.5519,10795,2299
135.6658,10798,2300
135.7798,10795,2300
135.8937,10794,2300
136.0076,10796,2299
136.1215,10799,2299
136.2355,10797,2301
136.3495,10794,2298
136.4647,10794,2301
136.5801,10796,2300
136.6953,10795,2300
136.8105,10792,2300
136.9257,10793,2300
137.0409,10793,2301
137.1557,10792,2300
137.2696,10792,2298
137.3836,10794,2299
137.4976,10795,2300
137.6115,10791,2300
137.7254,10791,2299
137.8394,10790,2299
137.9533,10791,2299
138.0672,10789,2300
138.1812,10793,2299
138.2951,10793,2300
138.4091,10789,2301
138.5230,10789,2298
138.6369,10787,2300
138.7508,10790,2299
138.8647,10789,2299
138.9786,10791,2299
139.0926,10792,2300
139.2067,10787,2300
139.3206,10788,2300
139.4345,10791,2299
139.5485,10789,2300
139.6624,10791,2299
139.7763,10794,2300
139.8902,10791,2299
140.0041,10792,2299
140.1180,10788,2300
140.2320,10791,2298
140.3459,10792,2298
140.4598,10789,2299
140.5737,10789,2297
140.6876,10788,2300
140.8015,10786,2299
140.9154,10788,2299
141.0294,10787,2300
141.1433,10788,2299
141.2572,10790,2298
141.3711,10787,2299
141.4852,10789,2298
141.5991,10786,2297
141.7131,10790,2299
141.8270,10789,2297
141.9409,10792,2299
142.0548,10789,2298
142.1696,10789,2298
142.2848,10789,2298
142.4000,10787,2298
142.5151,10789,2298
142.6304,10790,2299
142.7457,10791,2299
142.8604,10788,2298
142.9743,10787,2298
143.0882,10785,2298
